         4666751 function calls (4278882 primitive calls) in 17.153 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9072    0.030    0.000    0.104    0.000 E:\Python311\Lib\logging\__init__.py:194(_is_internal_frame)
     5930    0.016    0.000    0.102    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\functional.py:2103(softmax)
     3024    0.008    0.000    0.101    0.000 <frozen ntpath>:242(basename)
     2048    0.010    0.000    0.097    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\monitor.py:85(step)
     5280    0.061    0.000    0.096    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.096    0.096 F:\Ventura\env\Lib\site-packages\mpmath\__init__.py:1(<module>)
   259090    0.095    0.000    0.095    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.094    0.094 F:\Ventura\env\Lib\site-packages\sympy\geometry\__init__.py:1(<module>)
     3032    0.053    0.000    0.093    0.000 <frozen ntpath>:208(split)
      320    0.009    0.000    0.089    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\utils\clip_grad.py:69(<listcomp>)
        1    0.000    0.000    0.085    0.085 F:\Ventura\env\Lib\site-packages\torch\_dynamo\variables\lists.py:1(<module>)
        1    0.000    0.000    0.083    0.083 F:\Ventura\env\Lib\site-packages\torch\_dynamo\variables\iter.py:1(<module>)
     6048    0.083    0.000    0.083    0.000 {built-in method time.strftime}
     5930    0.083    0.000    0.083    0.000 {method 'softmax' of 'torch._C.TensorBase' objects}
    11129    0.042    0.000    0.082    0.000 <frozen ntpath>:51(normcase)
        1    0.000    0.000    0.080    0.080 F:\Ventura\env\Lib\site-packages\sympy\core\expr.py:1(<module>)
        1    0.000    0.000    0.078    0.078 F:\Ventura\env\Lib\site-packages\torch\_functorch\_aot_autograd\autograd_cache.py:1(<module>)
        1    0.000    0.000    0.077    0.077 F:\Ventura\env\Lib\site-packages\mpmath\ctx_fp.py:1(<module>)
     1043    0.003    0.000    0.077    0.000 E:\Python311\Lib\re\__init__.py:272(_compile)
      536    0.001    0.000    0.077    0.000 E:\Python311\Lib\inspect.py:3277(signature)
     5930    0.077    0.000    0.077    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\constraints.py:355(check)
