         4913920 function calls (4584492 primitive calls) in 13.935 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15751    0.084    0.000    0.192    0.000 E:\Python311\Lib\inspect.py:896(getfile)
        1    0.000    0.000    0.191    0.191 F:\Ventura\env\Lib\site-packages\torch\distributed\tensor\_collective_utils.py:1(<module>)
       10    0.000    0.000    0.191    0.019 F:\Ventura\env\Lib\site-packages\torch\_library\utils.py:33(get_source)
       13    0.000    0.000    0.191    0.015 E:\Python311\Lib\inspect.py:1055(findsource)
       10    0.000    0.000    0.191    0.019 E:\Python311\Lib\inspect.py:1662(getframeinfo)
        1    0.000    0.000    0.190    0.190 F:\Ventura\env\Lib\site-packages\sympy\printing\pycode.py:1(<module>)
        1    0.000    0.000    0.189    0.189 F:\Ventura\env\Lib\site-packages\torch\library.py:788(register)
       23    0.007    0.000    0.189    0.008 E:\Python311\Lib\inspect.py:973(getmodule)
        1    0.000    0.000    0.188    0.188 F:\Ventura\env\Lib\site-packages\sympy\printing\codeprinter.py:1(<module>)
        1    0.000    0.000    0.186    0.186 F:\Ventura\env\Lib\site-packages\sympy\functions\__init__.py:1(<module>)
24589/2051    0.080    0.000    0.185    0.000 E:\Python311\Lib\copy.py:128(deepcopy)
        1    0.000    0.000    0.181    0.181 F:\Ventura\env\Lib\site-packages\torch\onnx\utils.py:1(<module>)
     2653    0.005    0.000    0.181    0.000 F:\Ventura\env\Lib\site-packages\torch\_dynamo\trace_rules.py:2873(_load_obj_from_str)
     2048    0.006    0.000    0.170    0.000 E:\Python311\Lib\copy.py:201(_deepcopy_list)
    14484    0.017    0.000    0.168    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\activation.py:391(forward)
        1    0.000    0.000    0.167    0.167 F:\Ventura\env\Lib\site-packages\torch\onnx\_internal\diagnostics\__init__.py:1(<module>)
     3095    0.004    0.000    0.163    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1045    0.012    0.000    0.163    0.000 E:\Python311\Lib\dataclasses.py:413(_create_fn)
        1    0.000    0.000    0.163    0.163 F:\Ventura\env\Lib\site-packages\torch\onnx\_internal\diagnostics\_diagnostic.py:1(<module>)
        1    0.000    0.000    0.162    0.162 F:\Ventura\env\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\__init__.py:1(<module>)
     2101    0.008    0.000    0.157    0.000 E:\Python311\Lib\logging\__init__.py:1595(makeRecord)
     7119    0.081    0.000    0.155    0.000 <frozen ntpath>:208(split)
        1    0.000    0.000    0.152    0.152 F:\Ventura\env\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\_infra.py:1(<module>)
     2051    0.017    0.000    0.151    0.000 E:\Python311\Lib\copy.py:227(_deepcopy_dict)
    14484    0.150    0.000    0.150    0.000 {built-in method torch.tanh}
     2048    0.049    0.000    0.150    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\buffers.py:439(add)
     2101    0.054    0.000    0.149    0.000 E:\Python311\Lib\logging\__init__.py:292(__init__)
     2101    0.009    0.000    0.149    0.000 <frozen genericpath>:27(isfile)
